type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
erestor,,,6,0,2,0,30.444,0
fainter,,,6,0,3,0,30.444,0
bewildered,,,6,0,3,0,30.444,0
swathed,,,6,0,3,0,30.444,0
sickly,,,6,0,2,0,30.444,0
gaped,,,6,0,3,0,30.444,0
eregion,,,6,0,2,0,30.444,0
udûn,,,6,0,2,0,30.444,0
plumes,,,6,0,2,0,30.444,0
radiance,,,6,0,3,0,30.444,0
wrinkled,,,6,0,3,0,30.444,0
overtook,,,6,0,3,0,30.444,0
splayed,,,6,0,2,0,30.444,0
dwimorberg,,,6,0,1,0,30.444,0
heirloom,,,6,0,3,0,30.444,0
ores,,,6,0,2,0,30.444,0
crumbling,,,6,0,2,0,30.444,0
cruelly,,,6,0,2,0,30.444,0
grumbling,,,6,0,2,0,30.444,0
roving,,,6,0,3,0,30.444,0
circlet,,,6,0,2,0,30.444,0
haft,,,6,0,3,0,30.444,0
otho,,,6,0,1,0,30.444,0
marvelled,,,6,0,3,0,30.444,0
corsairs,,,6,0,1,0,30.444,0
beards,,,6,0,2,0,30.444,0
mantled,,,6,0,2,0,30.444,0
clapping,,,6,0,2,0,30.444,0
blushing,,,6,0,3,0,30.444,0
morthond,,,6,0,1,0,30.444,0
snowbourn,,,6,0,1,0,30.444,0
morsel,,,6,0,2,0,30.444,0
sneered,,,6,0,3,0,30.444,0
slime,,,6,0,2,0,30.444,0
westmarch,,,6,0,1,0,30.444,0
heaps,,,6,0,2,0,30.444,0
boffins,,,6,0,1,0,30.444,0
welled,,,6,0,2,0,30.444,0
panted,,,6,0,3,0,30.444,0
weren,,,6,0,2,0,30.444,0
greensward,,,6,0,2,0,30.444,0
dangling,,,6,0,2,0,30.444,0
howls,,,6,0,1,0,30.444,0
hesitating,,,6,0,2,0,30.444,0
twinkle,,,6,0,3,0,30.444,0
silmaril,,,6,0,2,0,30.444,0
gnawed,,,6,0,2,0,30.444,0
quickened,,,6,0,3,0,30.444,0
dimmed,,,6,0,2,0,30.444,0
starless,,,6,0,3,0,30.444,0
tuckborough,,,6,0,3,0,30.444,0
stamping,,,6,0,3,0,30.444,0
kingsfoil,,,6,0,1,0,30.444,0
drear,,,6,0,3,0,30.444,0
stalked,,,6,0,3,0,30.444,0
drenched,,,6,0,3,0,30.444,0
chanced,,,6,0,3,0,30.444,0
stirrups,,,6,0,3,0,30.444,0
whiteskins,,,6,0,1,0,30.444,0
gloating,,,6,0,2,0,30.444,0
foretell,,,6,1,3,1,24.867,0
fangs,,,6,1,2,1,24.867,0
ach,,,6,1,1,1,24.867,0
trespassing,,,6,1,2,1,24.867,0
tremor,,,6,1,3,1,24.867,0
assail,,,6,1,2,1,24.867,0
creak,,,6,1,2,1,24.867,0
herdsmen,,,6,1,2,1,24.867,0
pondering,,,6,1,3,1,24.867,0
furnaces,,,6,1,3,1,24.867,0
poised,,,6,1,3,1,24.867,0
flitting,,,6,1,2,1,24.867,0
mustering,,,6,1,2,1,24.867,0
whips,,,6,1,2,1,24.867,0
blasted,,,6,1,3,1,24.867,0
paddled,,,6,1,3,1,24.867,0
flapping,,,6,1,3,1,24.867,0
thudding,,,6,1,2,1,24.867,0
thud,,,6,1,2,1,24.867,0
gulls,,,6,1,2,1,24.867,0
huts,,,6,1,2,1,24.867,0
glens,,,6,2,2,1,21.776,0
stillness,,,6,2,2,1,21.776,0
loneliness,,,6,2,2,1,21.776,0
wardens,,,6,2,3,1,21.776,0
anvil,,,6,2,2,1,21.776,0
aching,,,6,2,2,1,21.776,0
sprung,,,6,2,3,1,21.776,0
beset,,,6,2,2,1,21.776,0
brazen,,,6,2,2,1,21.776,0
stabbing,,,6,2,3,1,21.776,0
graven,,,6,2,3,1,21.776,0
neat,,,6,2,2,1,21.776,0
wretch,,,6,2,2,1,21.776,0
wrists,,,6,2,1,1,21.776,0
rabble,,,6,2,2,1,21.776,0
bathed,,,6,2,3,1,21.776,0
slippery,,,6,2,3,1,21.776,0
snapping,,,6,2,3,1,21.776,0
abominable,,,6,2,2,1,21.776,0
shutting,,,6,2,2,1,21.776,0
fluttering,,,6,2,2,1,21.776,0
blackened,,,6,2,2,1,21.776,0
throbbing,,,6,2,3,1,21.776,0
wafer,,,6,2,3,1,21.776,0
thirst,,,6,2,2,1,21.776,0
sundered,,,6,2,3,1,21.776,0
forgetfulness,,,6,2,3,1,21.776,0
chattering,,,6,2,2,1,21.776,0
foresee,,,6,2,3,1,21.776,0
waggons,,,6,2,1,1,21.776,0
daunted,,,6,2,3,1,21.776,0
tinder,,,6,2,2,1,21.776,0
hoy,,,6,2,1,1,21.776,0
darken,,,6,2,2,1,21.776,0
swerved,,,7,0,3,0,35.518,0
swiftest,,,7,0,3,0,35.518,0
anon,,,7,0,2,0,35.518,0
mouthful,,,7,0,3,0,35.518,0
formless,,,7,0,3,0,35.518,0
woodhall,,,7,0,1,0,35.518,0
mug,,,7,0,3,0,35.518,0
longbottom,,,7,0,3,0,35.518,0
yea,,,7,0,3,0,35.518,0
gorgûn,,,7,0,1,0,35.518,0
neighed,,,7,0,2,0,35.518,0
mirrormere,,,7,0,1,0,35.518,0
belfalas,,,7,0,2,0,35.518,0
anárion,,,7,0,3,0,35.518,0
zâram,,,7,0,2,0,35.518,0
snuffling,,,7,0,3,0,35.518,0
mortals,,,7,0,2,0,35.518,0
gasping,,,7,0,3,0,35.518,0
bole,,,7,0,2,0,35.518,0
snarling,,,7,0,3,0,35.518,0
pathless,,,7,0,3,0,35.518,0
fragrant,,,7,0,3,0,35.518,0
ashen,,,7,0,2,0,35.518,0
maimed,,,7,0,3,0,35.518,0
dreaded,,,7,0,2,0,35.518,0
inquisitive,,,7,0,1,0,35.518,0
whimpered,,,7,0,2,0,35.518,0
corslet,,,7,0,2,0,35.518,0
towered,,,7,0,2,0,35.518,0
cowering,,,7,0,2,0,35.518,0
dîn,,,7,0,1,0,35.518,0
plodded,,,7,0,2,0,35.518,0
jeered,,,7,0,2,0,35.518,0
peeped,,,7,0,3,0,35.518,0
oliphaunt,,,7,0,2,0,35.518,0
tunic,,,7,0,3,0,35.518,0
blindly,,,7,0,1,0,35.518,0
asunder,,,7,0,3,0,35.518,0
kheled,,,7,0,2,0,35.518,0
twinkled,,,7,0,3,0,35.518,0
umbar,,,7,0,2,0,35.518,0
lamedon,,,7,0,1,0,35.518,0
scrambling,,,7,0,3,0,35.518,0
peeping,,,7,0,2,0,35.518,0
wailed,,,7,0,3,0,35.518,0
outwards,,,7,0,2,0,35.518,0
entmoot,,,7,0,1,0,35.518,0
waded,,,7,0,3,0,35.518,0
chilled,,,7,0,3,0,35.518,0
clop,,,7,0,1,0,35.518,0
nodding,,,7,0,3,0,35.518,0
tiring,,,7,0,2,0,35.518,0
shimmer,,,7,0,3,0,35.518,0
rustled,,,7,0,2,0,35.518,0
rustling,,,7,0,2,0,35.518,0
licked,,,7,0,3,0,35.518,0
felled,,,7,0,3,0,35.518,0
leastways,,,7,0,3,0,35.518,0
blinking,,,7,0,3,0,35.518,0
archet,,,7,0,2,0,35.518,0
spoons,,,7,1,1,1,29.655,0
mightier,,,7,1,2,1,29.655,0
caverns,,,7,1,3,1,29.655,0
squint,,,7,1,3,1,29.655,0
emptiness,,,7,1,3,1,29.655,0
mightiest,,,7,1,3,1,29.655,0
hinges,,,7,1,3,1,29.655,0
slid,,,7,1,3,1,29.655,0
crumbled,,,7,1,2,1,29.655,0
nostrils,,,7,1,3,1,29.655,0
fens,,,7,1,2,1,29.655,0
shadowed,,,7,1,3,1,29.655,0
jolly,,,7,2,2,1,26.313,0
shaggy,,,7,2,3,1,26.313,0
doubted,,,7,2,2,1,26.313,0
celebrant,,,7,2,3,1,26.313,0
whispers,,,7,2,3,1,26.313,0
inwards,,,7,2,2,1,26.313,0
bitterly,,,7,2,3,1,26.313,0
blindness,,,7,2,3,1,26.313,0
yawning,,,7,2,3,1,26.313,0
coney,,,7,2,1,1,26.313,0
ripples,,,7,2,2,1,26.313,0
afield,,,7,2,3,1,26.313,0
hoods,,,7,2,3,1,26.313,0
shines,,,7,2,3,1,26.313,0
breathless,,,7,2,2,1,26.313,0
burdens,,,7,2,1,1,26.313,0
mournful,,,7,2,3,1,26.313,0
swallowed,,,7,2,3,1,26.313,0
trampled,,,7,2,3,1,26.313,0
hedges,,,7,2,2,1,26.313,0
thickly,,,7,2,3,1,26.313,0
foreboding,,,7,2,3,1,26.313,0
cracking,,,7,2,3,1,26.313,0
thorin,,,7,2,1,1,26.313,0
bruised,,,7,2,3,1,26.313,0
secrecy,,,7,2,3,1,26.313,0
toppled,,,7,3,3,1,23.795,0
kneeling,,,7,3,3,1,23.795,0
uplands,,,7,3,2,1,23.795,0
scramble,,,7,3,3,1,23.795,0
fastened,,,7,3,3,1,23.795,0
wither,,,7,3,3,1,23.795,0
shudder,,,7,3,2,1,23.795,0
ropes,,,7,3,2,1,23.795,0
stride,,,7,3,3,1,23.795,0
wont,,,7,3,2,1,23.795,0
dingle,,,7,3,1,1,23.795,0
cock,,,7,3,2,1,23.795,0
hardened,,,7,3,3,1,23.795,0
hom,,,7,4,2,1,21.757,0
cares,,,7,4,3,1,21.757,0
restrained,,,7,4,3,1,21.757,0
hillock,,,7,4,3,1,21.757,0
safer,,,7,4,2,1,21.757,0
wickedness,,,7,4,2,1,21.757,0
loveliness,,,7,4,3,1,21.757,0
tumult,,,7,4,3,1,21.757,0
fountains,,,7,4,3,1,21.757,0
heap,,,7,4,3,1,21.757,0
dripping,,,8,0,3,0,40.592,0
trudged,,,8,0,3,0,40.592,0
draughts,,,8,0,3,0,40.592,0
dismayed,,,8,0,3,0,40.592,0
arnor,,,8,0,3,0,40.592,0
deceived,,,8,0,3,0,40.592,0
dawned,,,8,0,3,0,40.592,0
warmth,,,8,0,3,0,40.592,0
snows,,,8,0,3,0,40.592,0
argonath,,,8,0,3,0,40.592,0
courteous,,,8,0,3,0,40.592,0
contrived,,,8,0,3,0,40.592,0
blinked,,,8,0,2,0,40.592,0
groaned,,,8,0,3,0,40.592,0
weeds,,,8,0,3,0,40.592,0
ruffian,,,8,0,1,0,40.592,0
whiles,,,8,0,2,0,40.592,0
cheerless,,,8,0,2,0,40.592,0
wisps,,,8,0,3,0,40.592,0
bristling,,,8,0,3,0,40.592,0
wraiths,,,8,0,3,0,40.592,0
trotted,,,8,0,3,0,40.592,0
ingold,,,8,0,1,0,40.592,0
greyflood,,,8,0,2,0,40.592,0
treeless,,,8,0,2,0,40.592,0
harlond,,,8,0,1,0,40.592,0
harrowdale,,,8,0,1,0,40.592,0
galadhon,,,8,0,2,0,40.592,0
snaga,,,8,0,2,0,40.592,0
sward,,,8,0,3,0,40.592,0
panting,,,8,0,3,0,40.592,0
hauberk,,,8,0,2,0,40.592,0
heaved,,,8,0,3,0,40.592,0
heedless,,,8,0,3,0,40.592,0
sleepless,,,8,0,3,0,40.592,0
henneth,,,8,0,2,0,40.592,0
fireside,,,8,0,2,0,40.592,0
firelight,,,8,0,2,0,40.592,0
staves,,,8,0,2,0,40.592,0
hirgon,,,8,0,1,0,40.592,0
fingered,,,8,0,3,0,40.592,0
shuddering,,,8,0,3,0,40.592,0
hob,,,8,0,1,0,40.592,0
goings,,,8,0,3,0,40.592,0
trampling,,,8,0,3,0,40.592,0
shimmered,,,8,0,3,0,40.592,0
gorgor,,,8,0,3,0,40.592,0
dínen,,,8,0,1,0,40.592,0
guldur,,,8,0,2,0,40.592,0
parched,,,8,0,2,0,40.592,0
lessened,,,8,0,3,0,40.592,0
quivering,,,8,0,3,0,40.592,0
riddermark,,,8,0,3,0,40.592,0
pawing,,,8,0,2,0,40.592,0
noisome,,,8,0,2,0,40.592,0
naur,,,8,0,2,0,40.592,0
nassty,,,8,0,2,0,40.592,0
mustn,,,8,0,2,0,40.592,0
overhung,,,8,0,3,0,40.592,0
mirth,,,8,0,3,0,40.592,0
palantír,,,8,0,2,0,40.592,0
mournfully,,,8,0,3,0,40.592,0
reminds,,,8,1,3,1,34.478,0
tramping,,,8,1,3,1,34.478,0
slaying,,,8,1,3,1,34.478,0
smiths,,,8,1,2,1,34.478,0
folds,,,8,1,2,1,34.478,0
folks,,,8,1,3,1,34.478,0
smouldering,,,8,1,3,1,34.478,0
feathered,,,8,1,3,1,34.478,0
fancied,,,8,1,2,1,34.478,0
blacker,,,8,1,3,1,34.478,0
loosed,,,8,1,3,1,34.478,0
furthest,,,8,1,3,1,34.478,0
counselled,,,8,1,3,1,34.478,0
pinnacles,,,8,1,3,1,34.478,0
weathered,,,8,2,3,1,30.914,0
goblin,,,8,2,2,1,30.914,0
caras,,,8,2,2,1,30.914,0
luminous,,,8,2,2,1,30.914,0
unmoved,,,8,2,3,1,30.914,0
glimpsed,,,8,2,2,1,30.914,0
tossing,,,8,2,2,1,30.914,0
unbidden,,,8,2,3,1,30.914,0
dived,,,8,2,2,1,30.914,0
errands,,,8,2,3,1,30.914,0
colder,,,8,2,3,1,30.914,0
lumpkin,,,8,2,1,1,30.914,0
vapour,,,8,2,3,1,30.914,0
glades,,,8,2,3,1,30.914,0
falter,,,8,2,3,1,30.914,0
faltered,,,8,2,3,1,30.914,0
stupid,,,8,2,2,1,30.914,0
dwindling,,,8,2,3,1,30.914,0
reckless,,,8,2,3,1,30.914,0
beacons,,,8,3,2,1,28.196,0
bounds,,,8,3,2,1,28.196,0
scratched,,,8,3,3,1,28.196,0
waxing,,,8,3,3,1,28.196,0
evils,,,8,3,3,1,28.196,0
rabbits,,,8,3,1,1,28.196,0
turves,,,8,3,3,1,28.196,0
glamdring,,,8,3,3,1,28.196,0
splendour,,,8,3,2,1,28.196,0
camped,,,8,3,3,1,28.196,0
battlements,,,8,3,3,1,28.196,0
steered,,,8,4,2,1,25.975,0
veins,,,8,4,3,1,25.975,0
misery,,,8,4,2,1,25.975,0
grassy,,,8,4,2,1,25.975,0
loth,,,8,4,3,1,25.975,0
ripe,,,8,4,3,1,25.975,0
urgently,,,8,4,3,1,25.975,0
starry,,,8,4,3,1,25.975,0
woe,,,8,4,3,1,25.975,0
sorts,,,8,5,3,1,24.093,0
pinnacle,,,8,5,3,1,24.093,0
deepening,,,8,5,2,1,24.093,0
deceive,,,8,5,3,1,24.093,0
paddles,,,8,5,2,1,24.093,0
tattered,,,8,6,3,1,22.46,0
indoors,,,8,6,2,1,22.46,0
darkened,,,8,6,3,1,22.46,0
disgust,,,8,6,3,1,22.46,0
footed,,,8,7,2,1,21.018,0
hearted,,,8,7,3,1,21.018,0
groves,,,8,7,1,1,21.018,0
kicked,,,8,7,2,1,21.018,0
hasufel,,,9,0,2,0,45.666,0
bidden,,,9,0,3,0,45.666,0
watchfulness,,,9,0,3,0,45.666,0
abide,,,9,0,3,0,45.666,0
forlong,,,9,0,1,0,45.666,0
dais,,,9,0,3,0,45.666,0
annûn,,,9,0,2,0,45.666,0
damrod,,,9,0,1,0,45.666,0
tarry,,,9,0,3,0,45.666,0
taters,,,9,0,2,0,45.666,0
flamed,,,9,0,3,0,45.666,0
fissh,,,9,0,1,0,45.666,0
vales,,,9,0,3,0,45.666,0
bier,,,9,0,2,0,45.666,0
anor,,,9,0,3,0,45.666,0
fairer,,,9,0,3,0,45.666,0
ered,,,9,0,3,0,45.666,0
athelas,,,9,0,2,0,45.666,0
rending,,,9,0,3,0,45.666,0
dripped,,,9,0,3,0,45.666,0
khazad,,,9,0,2,0,45.666,0
erech,,,9,0,1,0,45.666,0
elanor,,,9,0,2,0,45.666,0
eastfarthing,,,9,0,2,0,45.666,0
impenetrable,,,9,0,2,0,45.666,0
watchmen,,,9,0,2,0,45.666,0
easterlings,,,9,0,3,0,45.666,0
rumbling,,,9,0,3,0,45.666,0
stinker,,,9,0,2,0,45.666,0
gladden,,,9,0,2,0,45.666,0
glistening,,,9,0,3,0,45.666,0
clung,,,9,0,3,0,45.666,0
robed,,,9,0,2,0,45.666,0
gasp,,,9,0,3,0,45.666,0
galdor,,,9,0,1,0,45.666,0
rammas,,,9,0,1,0,45.666,0
frowned,,,9,0,3,0,45.666,0
clang,,,9,0,3,0,45.666,0
snorted,,,9,0,2,0,45.666,0
lockholes,,,9,0,1,0,45.666,0
haradrim,,,9,0,3,0,45.666,0
mundburg,,,9,0,2,0,45.666,0
éored,,,9,0,2,0,45.666,0
pelargir,,,9,0,1,0,45.666,0
lids,,,9,0,3,0,45.666,0
wights,,,9,0,2,0,45.666,0
pimple,,,9,1,1,1,39.329,0
prancing,,,9,1,3,1,39.329,0
fen,,,9,1,3,1,39.329,0
grasped,,,9,1,3,1,39.329,0
fingering,,,9,1,3,1,39.329,0
fume,,,9,1,3,1,39.329,0
gebir,,,9,1,2,1,39.329,0
grieved,,,9,1,3,1,39.329,0
swaying,,,9,1,3,1,39.329,0
notched,,,9,1,3,1,39.329,0
lurked,,,9,1,3,1,39.329,0
clapped,,,9,1,3,1,39.329,0
forgot,,,9,2,3,1,35.565,0
healer,,,9,2,1,1,35.565,0
endlessly,,,9,2,2,1,35.565,0
knoll,,,9,2,2,1,35.565,0
hindered,,,9,2,3,1,35.565,0
trodden,,,9,2,3,1,35.565,0
shapely,,,9,2,3,1,35.565,0
girth,,,9,2,3,1,35.565,0
waned,,,9,2,3,1,35.565,0
sires,,,9,2,3,1,35.565,0
uruk,,,9,2,2,1,35.565,0
fastness,,,9,2,3,1,35.565,0
slipping,,,9,3,3,1,32.665,0
dales,,,9,3,3,1,32.665,0
anew,,,9,3,3,1,32.665,0
trailed,,,9,3,3,1,32.665,0
avail,,,9,3,3,1,32.665,0
claws,,,9,4,3,1,30.277,0
lodging,,,9,4,2,1,30.277,0
clustered,,,9,4,3,1,30.277,0
hints,,,9,4,2,1,30.277,0
reappeared,,,9,4,2,1,30.277,0
shades,,,9,4,2,1,30.277,0
blazing,,,9,4,3,1,30.277,0
stairway,,,9,4,3,1,30.277,0
remembering,,,9,4,3,1,30.277,0
ventured,,,9,4,2,1,30.277,0
menacing,,,9,5,3,1,28.241,0
patches,,,9,5,2,1,28.241,0
woodlands,,,9,5,3,1,28.241,0
tearing,,,9,5,3,1,28.241,0
mastered,,,9,6,2,1,26.465,0
tore,,,9,6,2,1,26.465,0
lair,,,9,6,2,1,26.465,0
blinding,,,9,6,3,1,26.465,0
fearless,,,9,6,3,1,26.465,0
daring,,,9,6,3,1,26.465,0
blindfold,,,9,6,2,1,26.465,0
stepping,,,9,7,3,1,24.89,0
worrying,,,9,7,3,1,24.89,0
footsteps,,,9,8,3,1,23.477,0
bottles,,,9,8,2,1,23.477,0
concealed,,,9,9,3,1,22.196,0
accounted,,,9,9,2,1,22.196,0
tipped,,,9,10,2,1,21.027,0
heels,,,9,10,3,1,21.027,0
polite,,,9,10,3,1,21.027,0
blank,,,9,10,3,1,21.027,0
hollin,,,10,0,1,0,50.74,0
oliphaunts,,,10,0,2,0,50.74,0
aught,,,10,0,3,0,50.74,0
parth,,,10,0,3,0,50.74,0
swirling,,,10,0,2,0,50.74,0
darkening,,,10,0,3,0,50.74,0
lossarnach,,,10,0,1,0,50.74,0
bowmen,,,10,0,3,0,50.74,0
slanting,,,10,0,2,0,50.74,0
clambered,,,10,0,3,0,50.74,0
sunlit,,,10,0,3,0,50.74,0
vigour,,,10,0,3,0,50.74,0
dazzling,,,10,0,3,0,50.74,0
forlorn,,,10,0,3,0,50.74,0
strove,,,10,0,3,0,50.74,0
galloped,,,10,0,3,0,50.74,0
wakened,,,10,0,3,0,50.74,0
quailed,,,10,0,3,0,50.74,0
arod,,,10,0,2,0,50.74,0
comforted,,,10,0,3,0,50.74,0
gilthoniel,,,10,0,3,0,50.74,0
eärendil,,,10,0,2,0,50.74,0
sneaking,,,10,0,2,0,50.74,0
eorlingas,,,10,0,2,0,50.74,0
orodruin,,,10,0,2,0,50.74,0
dunland,,,10,0,3,0,50.74,0
hadn,,,10,0,2,0,50.74,0
steaming,,,10,0,3,0,50.74,0
wavering,,,10,0,3,0,50.74,0
sundown,,,10,0,3,0,50.74,0
trickling,,,10,0,3,0,50.74,0
anórien,,,10,0,1,0,50.74,0
clenched,,,10,1,3,1,44.203,0
fissures,,,10,1,3,1,44.203,0
swifter,,,10,1,3,1,44.203,0
lingered,,,10,1,3,1,44.203,0
lanterns,,,10,1,2,1,44.203,0
puzzled,,,10,2,3,1,40.257,0
encircling,,,10,2,3,1,40.257,0
amiss,,,10,2,3,1,40.257,0
thrusting,,,10,2,3,1,40.257,0
wholesome,,,10,2,3,1,40.257,0
fences,,,10,2,2,1,40.257,0
ain,,,10,2,3,1,40.257,0
rumours,,,10,2,2,1,40.257,0
overcame,,,10,2,3,1,40.257,0
wizardry,,,10,2,3,1,40.257,0
grasp,,,10,2,3,1,40.257,0
stifling,,,10,2,3,1,40.257,0
stowed,,,10,2,2,1,40.257,0
westwards,,,10,3,2,1,37.19,0
ledge,,,10,3,2,1,37.19,0
deserves,,,10,3,3,1,37.19,0
overtaken,,,10,3,3,1,37.19,0
spilled,,,10,3,3,1,37.19,0
thirsty,,,10,3,3,1,37.19,0
sore,,,10,3,3,1,37.19,0
pursuers,,,10,3,3,1,37.19,0
sloped,,,10,4,3,1,34.648,0
ragged,,,10,4,3,1,34.648,0
hauled,,,10,4,3,1,34.648,0
